od_id;od_do_code;od_tbltype;od_codeobj;od_creadat;od_majdate;od_majsrc;od_abddate;od_abdsrc
360;DO000000000005;ND;ND000180031091;08/06/2015;;;;
361;DO000000000005;ND;ND000180031092;08/06/2015;;;;
362;DO000000000005;ND;ND000180031093;08/06/2015;;;;
363;DO000000000005;ND;ND000180031094;08/06/2015;;;;
364;DO000000000005;ND;ND000180031100;08/06/2015;;;;
365;DO000000000005;ND;ND000180031101;08/06/2015;;;;
366;DO000000000005;ND;ND000180031227;08/06/2015;;;;
367;DO000000000005;ND;ND000180031284;08/06/2015;;;;
368;DO000000000005;ND;ND000180031287;08/06/2015;;;;
369;DO000000000005;ND;ND000180031292;08/06/2015;;;;
370;DO000000000005;ND;ND000180031301;08/06/2015;;;;
371;DO000000000005;ND;ND000180031330;08/06/2015;;;;
372;DO000000000005;ND;ND000180031350;08/06/2015;;;;
373;DO000000000005;ND;ND000180031413;08/06/2015;;;;
374;DO000000000005;ND;ND000180031414;08/06/2015;;;;
375;DO000000000005;ND;ND000180032722;08/06/2015;;;;
376;DO000000000005;ND;ND000180032793;08/06/2015;;;;
377;DO000000000005;ND;ND200180030502;08/06/2015;;;;
378;DO000000000005;CB;CB000180030001;08/06/2015;;;;
379;DO000000000005;CB;CB000180030003;08/06/2015;;;;
380;DO000000000005;CB;CB000180030007;08/06/2015;;;;
381;DO000000000005;CB;CB000180030329;08/06/2015;;;;
382;DO000000000005;CB;CB000180030341;08/06/2015;;;;
383;DO000000000005;CB;CB000180030739;08/06/2015;;;;
384;DO000000000005;CB;CB000180030916;08/06/2015;;;;
385;DO000000000005;CB;CB000180030975;08/06/2015;;;;
386;DO000000000005;CB;CB000180034416;08/06/2015;;;;
387;DO000000000005;CB;CB000180034417;08/06/2015;;;;
388;DO000000000005;CB;CB000180034418;08/06/2015;;;;
389;DO000000000005;CB;CB000180034419;08/06/2015;;;;
390;DO000000000005;CB;CB000180034420;08/06/2015;;;;
391;DO000000000005;CB;CB000180034421;08/06/2015;;;;
392;DO000000000005;CB;CB000180034422;08/06/2015;;;;
393;DO000000000005;CB;CB000180034601;08/06/2015;;;;
394;DO000000000005;CB;CB000180034602;08/06/2015;;;;
395;DO000000000005;CB;CB000180034603;08/06/2015;;;;
396;DO000000000005;CB;CB000180034604;08/06/2015;;;;
397;DO000000000005;CB;CB000180034605;08/06/2015;;;;
398;DO000000000005;CB;CB000180034606;08/06/2015;;;;
399;DO000000000005;CB;CB000180034607;08/06/2015;;;;
400;DO000000000006;ZN;ZN000180030001;08/06/2015;;;;
401;DO000000000006;ZS;ZS000000000007;08/06/2015;;;;
402;DO000000000005;CM;CM100180031521;08/06/2015;;;;
403;DO000000000005;CM;CM000180032598;08/06/2015;;;;
404;DO000000000005;CM;CM000180032599;08/06/2015;;;;
405;DO000000000005;CM;CM000180032602;08/06/2015;;;;
406;DO000000000005;CM;CM000180032956;08/06/2015;;;;
407;DO000000000005;CM;CM000180032958;08/06/2015;;;;
408;DO000000000005;CM;CM000180033134;08/06/2015;;;;
409;DO000000000005;CM;CM000180033569;08/06/2015;;;;
410;DO000000000005;CM;CM000180033570;08/06/2015;;;;
411;DO000000000005;CM;CM900180034416;08/06/2015;;;;
412;DO000000000005;CM;CM900180034417;08/06/2015;;;;
413;DO000000000005;CM;CM900180034418;08/06/2015;;;;
414;DO000000000005;CM;CM900180034419;08/06/2015;;;;
415;DO000000000005;CM;CM900180034420;08/06/2015;;;;
416;DO000000000005;CM;CM900180034421;08/06/2015;;;;
417;DO000000000005;CM;CM900180034422;08/06/2015;;;;
418;DO000000000005;CM;CM900180034601;08/06/2015;;;;
419;DO000000000005;CM;CM900180034602;08/06/2015;;;;
420;DO000000000005;CM;CM900180034603;08/06/2015;;;;
421;DO000000000005;CM;CM900180034604;08/06/2015;;;;
422;DO000000000005;CM;CM900180034605;08/06/2015;;;;
423;DO000000000005;CM;CM900180034606;08/06/2015;;;;
424;DO000000000005;CM;CM900180034607;08/06/2015;;;;
425;DO000000000005;CM;CM200180032598;08/06/2015;;;;
426;DO000000000005;CM;CM200180033134;08/06/2015;;;;
427;DO000000000005;ZN;ZN000180030001;08/06/2015;;;;
428;DO000000000005;ZS;ZS000000000007;08/06/2015;;;;
429;DO000000000005;ZP;ZP000180030675;08/06/2015;;;;
430;DO000000000005;ZP;ZP000180030676;08/06/2015;;;;
431;DO000000000005;ZP;ZP000180030698;08/06/2015;;;;
432;DO000000000005;CD;CD001800325981;08/06/2015;;;;
433;DO000000000005;CD;CD001800325991;08/06/2015;;;;
434;DO000000000005;CD;CD001800326021;08/06/2015;;;;
435;DO000000000005;CD;CD001800329561;08/06/2015;;;;
436;DO000000000005;CD;CD001800329581;08/06/2015;;;;
437;DO000000000005;CD;CD001800331341;08/06/2015;;;;
438;DO000000000005;CD;CD001800331342;08/06/2015;;;;
439;DO000000000005;CD;CD001800331343;08/06/2015;;;;
440;DO000000000005;CD;CD001800331344;08/06/2015;;;;
441;DO000000000005;CD;CD001800335691;08/06/2015;;;;
442;DO000000000005;CD;CD001800335692;08/06/2015;;;;
443;DO000000000005;CD;CD001800335693;08/06/2015;;;;
444;DO000000000005;CD;CD001800335694;08/06/2015;;;;
445;DO000000000005;CD;CD001800335695;08/06/2015;;;;
446;DO000000000005;CD;CD001800335701;08/06/2015;;;;
447;DO000000000005;CD;CD001800335702;08/06/2015;;;;
448;DO000000000005;CD;CD001800335703;08/06/2015;;;;
449;DO000000000005;CD;CD001800335704;08/06/2015;;;;
450;DO000000000005;CD;CD001800335705;08/06/2015;;;;
451;DO000000000005;CD;CD001800335706;08/06/2015;;;;
452;DO000000000005;CD;CD001800335707;08/06/2015;;;;
453;DO000000000005;CD;CD201800331341;08/06/2015;;;;
454;DO000000000005;CD;CD201800331342;08/06/2015;;;;
455;DO000000000005;CD;CD201800331343;08/06/2015;;;;
456;DO000000000005;CD;CD201800331344;08/06/2015;;;;
457;DO000000000006;ZD;ZD000180030001;08/06/2015;;;;
458;DO000000000006;ND;ND000180030001;08/06/2015;;;;
